Substation Name,Nominal Voltage (kV),Primary Group,Grid Group,Firm Capacity (MVA),Maximum Load (MVA),Minimum Load (MVA),Generation Connected (MW),Generation Contracted (MW),33kV Overall Category,Overall Category,33kV Generation Capacity,33kV Wider Constraints,HV Reverse Power Flow,HV Generation Capacity,HV Fault Level,HV Wider Constraints,District,X,Y
WIDNES ROAD,33/11,GREAT SANKEY T1 / PENKETH T1 / WIDNES RD T1,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,20.0,10.6,2.65,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Mid Cheshire,356038.688,387551.904
GREAT SUTTON,33/11,GREAT SUTTON T1 / LITTLE SUTTON T1 / STRAWBERRY ROUNDABOUT T1 / SUTTON HALL WWB T1 / WHITBY MAIN T2,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,26.42,22.54,5.63,0.29,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,338605.615,375427.101
LITTLE SUTTON,33/11,GREAT SUTTON T1 / LITTLE SUTTON T1 / STRAWBERRY ROUNDABOUT T1 / SUTTON HALL WWB T1 / WHITBY MAIN T2,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,26.42,22.54,5.63,0.29,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,337956.734,376776.309
STRAWBERRY ROUNDABOUT,33/11,GREAT SUTTON T1 / LITTLE SUTTON T1 / STRAWBERRY ROUNDABOUT T1 / SUTTON HALL WWB T1 / WHITBY MAIN T2,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,26.42,22.54,5.63,0.29,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,339344.16,373741.152
GWERSYLLT,33/11,GWERSYLLT T1,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,7.5,5.29,1.32,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,332039.3676,353110.7229
PERCIVAL LANE,33/11,HALTON RD T1 / MURDISHAW T1 / PERCIVAL LA T4 / RUNCORN CENTRAL T1,DUTTON GT2 / MOORE GT1 / PERCIVAL LA GT1,25.0,18.15,4.54,5.07,0.0,RED,RED,Green,Red,Red,Red,Red,Amber,Wirral,349755.0,381979.0
IVY STREET,33/11,IVY ST (SOUTHPORT) T1 / KENSINGTON RD T1 / MARKET ST T1 / SOUTHPORT T1,FORMBY GT2B / SOUTHPORT GT1 / SOUTHPORT GT2,30.0,15.03,3.76,0.0,0.0,RED,RED,Red,Red,Amber,Green,Red,Amber,Merseyside,285024.992,378952.288
JOHNSTOWN,33/11,JOHNSTOWN T1,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,7.5,6.29,1.57,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,330514.573,345375.938
PALCO,33/11,KELCO T1 / NEWS INTERNATIONAL T1 / NEWS INTERNATIONAL T2 / PALCO T1 / SOUTHDENE T1,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,30.0,17.22,4.3,0.5,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,342270.457,396544.788
TOWER HILL,33/11,KIRKBY CENTRAL T1 / NORTHWOOD T1 / TOWER HILL (BANK LA) T1 / WESTVALE T1,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,30.0,17.85,4.46,0.5,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,341020.704,399810.688
LLANFAIR CAEREINION,33/11,LLANFAIR CAEREINION T1,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,7.5,4.96,1.24,1.27,0.14,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,311158.636,306112.53
LLANFWROG,33/11,LLANFWROG T1 / RUTHIN T1,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,15.0,9.02,2.26,3.55,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,North Wales,311079.7745,357617.8516
LLANILAR,33/11,LLANILAR T1,ABERYSTWYTH GT2 / RHYDLYDAN GT1,3.2,2.6,0.65,0.98,0.04,RED,AMBER,Red,Red,Amber,Amber,Green,Amber,Dee Valley & Mid Wales,260729.122,275665.327
LLANSILIN,33/11,LLANSILIN T1,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,7.5,3.44,0.86,0.4,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,321408.893,328690.1428
LLYNCLYS,33/11,LLYNCLYS T1,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,7.5,4.09,1.02,2.58,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,328460.436,323969.192
NORTON CHAINS,33/11,MANOR PK T1 / NORTON CHAINS T1,DUTTON GT2 / MOORE GT1 / PERCIVAL LA GT1,10.0,8.97,2.24,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Green,Amber,Wirral,356176.608,383770.56
MORRISONS,33/11,MORRISONS T1,ELWORTH GT1 / ELWORTH GT2 / KNUTSFORD GT1 / KNUTSFORD GT2,7.5,5.31,1.33,0.0,0.0,RED,AMBER,Green,Red,Green,Green,Green,Amber,Mid Cheshire,368532.032,372532.64
PANDY,33/11,PANDY T1 / PANDY T2,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,10.0,8.12,2.03,0.0,0.0,RED,AMBER,Red,Red,Amber,Amber,Green,Amber,Dee Valley & Mid Wales,333704.8,353400.096
PARC CYBI,33/11,PARC CYBI T1 / PARC CYBI T2,AMLWCH GT1 / CAERGEILIOG GT1,10.0,2.86,0.72,0.0,0.0,RED,RED,Red,Amber,Amber,Red,Green,Amber,North Wales,225624.4907,380836.6151
PILKINGTON HO,33/11,LEA GREEN T1 / PILKINGTONS HO T1 / RAVENHEAD RETAIL PK T1 / SOMERFIELD DISTRIBUTION T1,BOLD G4B / RAVENHEAD G1A2 / ST HELENS GT2A,20.0,12.61,3.15,4.6,0.0,RED,RED,Green,Red,Red,Red,Amber,Amber,Merseyside,349970.992,394523.139
RADWAY GREEN,33/11,RADWAY GREEN T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,7.5,6.03,1.51,0.0,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,Mid Cheshire,377556.634,354153.841
ROLLS ROYCE,33/11,ROLLS ROYCE T1 / ROLLS ROYCE T2 / ROLLS ROYCE T3,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,15.0,11.64,2.91,7.1,0.0,RED,RED,Green,Red,Red,Red,Green,Amber,Mid Cheshire,368662.912,356607.168
SANDBACH,33/11,SANDBACH T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,7.5,7.51,1.88,0.14,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,Mid Cheshire,375545.8128,361971.3054
TACO PLASTICS,33/11,TACO PLASTICS T1 / TACO PLASTICS T2 / UNITED PERIPHERALS T1,HARTFORD GT1 / LOSTOCK GT2 / WINSFORD GT1 / WINSFORD GT2,20.0,10.87,2.72,0.35,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Mid Cheshire,366924.608,367166.272
