Substation Name,Nominal Voltage (kV),Primary Group,Grid Group,Firm Capacity (MVA),Maximum Load (MVA),Minimum Load (MVA),Generation Connected (MW),Generation Contracted (MW),33kV Overall Category,Overall Category,33kV Generation Capacity,33kV Wider Constraints,HV Reverse Power Flow,HV Generation Capacity,HV Fault Level,HV Wider Constraints,District,X,Y
RHYD Y GOLEU,33/11,BROMFIELD T1 / BROMFIELD T2 / PONTERWYL T1 / RHYD-Y-GOLEU T1 / SYNTHITE T1,BRYMBO GT2 / HAWARDEN GT2 / HOLYWELL GT2,37.5,15.07,3.77,0.11,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Dee Valley & Mid Wales,323136.222,365118.815
UPTON HEATH,33/11,BROOK LA T1 / MANNINGS LA T1 / NEWTOWN CHESTER T1 / UPTON HEATH T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,30.0,17.51,4.38,2.0,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Wirral,341658.592,369544.0
BROOK STREET,33/11,BROOK ST T1 / KINGSWAY TUNNEL T1 / NWWA SANDON DOCK T1 / NWWA SANDON DOCK T2,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,30.0,12.62,3.16,1.4,0.0,AMBER,RED,Green,Amber,Red,Amber,Red,Amber,Merseyside,333843.0,390822.0
KINGSWAY TUNNEL,33/11,BROOK ST T1 / KINGSWAY TUNNEL T1 / NWWA SANDON DOCK T1 / NWWA SANDON DOCK T2,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,30.0,12.62,3.16,1.4,0.0,AMBER,RED,Green,Amber,Red,Amber,Red,Amber,Merseyside,333709.094,391425.043
SOUTHPORT RD,33/11,BURLINGTON AVE T1 / FRESHFIELD T1 / MARSH BROWS T1 / SOUTHPORT RD T1,AINTREE GT1 / FORMBY GT2A / LITHERLAND GT1B,28.0,14.7,3.67,1.8,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,330551.3479,408447.1462
CAERGEILIOG,33/11,CAERGEILIOG T1,AMLWCH GT1 / CAERGEILIOG GT1,7.5,3.69,0.92,0.0,0.0,RED,RED,Red,Amber,Red,Red,Green,Amber,North Wales,230477.2824,378249.7611
CEREAL PARTNERS,33/11,CEREAL PARTNERS T1 / LEVER GEORGIA AVE T1 / POOL LA T1 / UML LEVER BROMBOROUGH T2,BROMBOROUGH GT3 / ROCK FERRY GT2,30.0,9.19,2.3,4.6,0.14,RED,RED,Green,Red,Red,Red,Red,Amber,Wirral,335016.256,383545.184
CHESTER GATES,33/11,CHESTER GATES T1 / UNILEVER DUNKIRK T1,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,10.0,5.66,1.42,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Green,Amber,Wirral,337855.003,372555.148
CHESTER ST,33/11,CHESTER ST (WREXHAM) T1 / EAGLES MEADOW T1 / RHOSNESNI T1 / WHITEGATE T1,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,30.0,13.51,3.38,0.0,0.0,RED,RED,Red,Red,Amber,Green,Red,Amber,Dee Valley & Mid Wales,333644.736,350470.72
NANT HALL,33/11,CHURCH LA T1 / NANT HALL T1 / PRESTATYN T1,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,20.0,9.3,2.33,0.0,0.0,RED,AMBER,Red,Red,Amber,Amber,Amber,Amber,North Wales,307704.896,383200.672
PRESTATYN,33/11,CHURCH LA T1 / NANT HALL T1 / PRESTATYN T1,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,20.0,9.3,2.33,0.0,0.0,RED,AMBER,Red,Red,Amber,Amber,Amber,Amber,North Wales,306433.088,382913.44
ELECTRICITY STREET,33/11,CIVIC CENTRE T1 / CLAUGHTON AVE T1 / ELECTRICITY ST T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,19.18,14.47,3.62,0.12,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Mid Cheshire,370469.312,355313.152
HILLS MOSS,33/11,CLOCKFACE T1 / GEC ST HELENS T1 / HILLS MOSS T1 / NCB SUTTON MANOR T2,BOLD G2A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,30.0,12.84,3.21,3.0,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,354032.064,393008.416
CLUBMOOR,33/6.3,CLUBMOOR T2 / LISTER DV A T1 / SUBURBAN RD T2,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,17.5,10.76,2.69,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,337807.84,393449.44
COEDPOETH,33/11,COEDPOETH T1 / COEDPOETH T2,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,10.0,5.43,1.36,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,328917.8866,351526.9589
LEVERS CROSSFIELD,33/11,CROSSFIELDS T1 / CROSSFIELDS T2 / LEVERS CROSSFIELDS T3 / GATEWARTH SEWAGE T1,SANKEY BRIDGES GT3 / WARRINGTON GT5,30.0,8.22,2.05,1.1,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Mid Cheshire,359887.527,388124.619
LLAY,33/11,DAVY WAY T1 / LLAY T1,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,10.0,7.83,1.96,1.43,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,Dee Valley & Mid Wales,332703.914,356345.815
RAF SEALAND,33/11,DEESIDE IND PK T1 / DEESIDE IND PK 6TH AVE T1 / RAF SEALAND T1,DEESIDE PK GRID GT1 / SIXTH AVE GRID GT1,20.0,12.54,3.14,1.05,0.12,RED,RED,Green,Red,Red,Amber,Amber,Amber,Wirral,333495.776,369944.64
ROBBINS BRIDGE,33/11,DODDS LA T1 / HOLBORN HILL T1 / MAGHULL T1 / MAGHULL T2 / ROBBINS BRIDGE T1,AINTREE GT1 / FORMBY GT2A / LITHERLAND GT1B,37.5,23.53,5.88,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,338570.208,404264.704
DOLGELLAU,33/11,DOLGELLAU T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,7.5,4.01,1.0,1.31,0.11,RED,AMBER,Red,Amber,Green,Green,Green,Amber,Dee Valley & Mid Wales,273688.715,317711.475
PLESSEY EDGE LANE,33/11,EDGE LA (TAPLEY PLACE) T1 / LISTER DV B T3 / MILL LA (WAVERTREE) T1 / PLESSEY (EDGE LA) T1 / STONEYCROFT T1,LISTER DV B GT3 / SPARLING ST GT1 / WAVERTREE GT2,37.5,20.63,5.16,0.0,0.0,AMBER,RED,Green,Amber,Amber,Green,Red,Amber,Merseyside,338247.456,390757.024
STONEYCROFT,33/11,EDGE LA (TAPLEY PLACE) T1 / LISTER DV B T3 / MILL LA (WAVERTREE) T1 / PLESSEY (EDGE LA) T1 / STONEYCROFT T1,LISTER DV B GT3 / SPARLING ST GT1 / WAVERTREE GT2,37.5,20.63,5.16,0.0,0.0,AMBER,RED,Green,Amber,Amber,Green,Red,Amber,Merseyside,339394.08,392122.656
ELLESMERE,33/11,ELLESMERE T1 / MMB ELLESMERE T1,OSWESTRY GT5 / WHITCHURCH GT1,9.0,7.26,1.82,0.78,0.0,RED,RED,Red,Red,Red,Amber,Green,Amber,Dee Valley & Mid Wales,339751.341,335289.239
ELTON,33/11,ELTON T1,ELLESMERE PORT GT2 / INCE LOCAL GT1 / INCE LOCAL GT2,7.5,2.67,0.67,0.0,0.0,RED,RED,Green,Red,Red,Red,Green,Amber,Wirral,345901.216,375426.112
PILKINGTONS Q FERRY,33/11,ENGINEER PK T1 / PILKINGTONS QUEENSFERRY T1 / QUEENSFERRY T1,CASTLE CEMENT GT1 / HAWARDEN GT1 / SALTNEY GT1 / SALTNEY G2B,20.0,14.07,3.52,5.2,0.0,RED,RED,Green,Red,Red,Red,Amber,Amber,Dee Valley & Mid Wales,332478.24,367807.424
LEEWARD DRIVE,33/11,ESTUARY COMMERCE PK T1 / LEEWARD DR T1 / LEEWARD DR T2 / SPEKE HALL RD T1 / SPEKE SKY PK T1,GARSTON GT2 / SPEKE GT3 / WAVERTREE GT1A,30.0,8.66,2.16,1.0,0.0,AMBER,RED,Green,Amber,Red,Amber,Red,Amber,Merseyside,342201.0,383936.0
FAZAKERLEY HOSPITAL,33/11,FAZAKERLEY HOSPITAL T1 / JACOBS T1 / JACOBS T2 / SEEDS LA T1,AINTREE GT2 / FAZAKERLEY GT1 / GILLMOSS GT2,30.0,13.69,3.42,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,338231.8486,397174.8974
FODENS,33/11,FODENS T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,7.5,4.9,1.22,0.15,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,Mid Cheshire,373925.7891,360988.823
SUTTON HALL W W B,33/11,GREAT SUTTON T1 / LITTLE SUTTON T1 / STRAWBERRY ROUNDABOUT T1 / SUTTON HALL WWB T1 / WHITBY MAIN T2,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,26.42,22.54,5.63,0.29,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,337160.864,375538.432
HARRINGTON STREET A,33/6.3,HARRINGTON ST T1 / PARADISE ST T1,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,8.7,5.19,1.3,1.0,0.0,AMBER,RED,Green,Amber,Red,Red,Red,Amber,Merseyside,334470.204,390364.386
LIME STREET,33/6.3,HARRINGTON ST T3 / LIME ST T1,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,8.7,4.15,1.04,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,334916.128,390485.632
HARTFORD T1,33/11,HARTFORD T1,HARTFORD GT1 / LOSTOCK GT2 / WINSFORD GT1 / WINSFORD GT2,7.5,6.13,1.53,0.0,0.0,RED,RED,Green,Red,Red,Red,Green,Amber,Mid Cheshire,363358.151,371369.487
OLD HAYMARKET,33/11,HIGHFIELD ST T2 / LIME ST T2 / OLD HAYMARKET T1,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,20.0,9.06,2.27,0.0,0.0,AMBER,AMBER,Green,Amber,Amber,Amber,Amber,Amber,Merseyside,334732.663,390753.379
LOSTOCK TRIANGLE,33/11,LOSTOCK TRIANGLE T1,ELWORTH GT1 / ELWORTH GT2 / KNUTSFORD GT1 / KNUTSFORD GT2,7.5,3.66,0.91,0.0,0.0,RED,AMBER,Green,Red,Green,Green,Green,Amber,Mid Cheshire,369402.8298,374962.172
UNILEVER RESEARCH,33/11,LOWER BEBINGTON T1 / NEW FERRY T1 / SPITAL T1 / UNILEVER RESEARCH T1,BROMBOROUGH GT3 / ROCK FERRY GT2,30.0,14.48,3.62,3.87,0.08,RED,RED,Green,Red,Red,Red,Red,Amber,Wirral,333534.368,383569.696
WHITELEGGS LANE,33/11,LYMM T1 / WHITELEGGS LA T1,SANKEY BRIDGES GT3 / WARRINGTON GT5,10.0,8.87,2.22,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Green,Amber,Mid Cheshire,369580.0145,386257.5696
OCEAN PLAZA,33/11,NEVILL ST T1 / OCEAN PLAZA T1 / YORK RD T1,FORMBY GT2B / SOUTHPORT GT1 / SOUTHPORT GT2,20.0,10.24,2.56,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Merseyside,333197.03,417937.735
YORK ROAD,33/11,NEVILL ST T1 / OCEAN PLAZA T1 / YORK RD T1,FORMBY GT2B / SOUTHPORT GT1 / SOUTHPORT GT2,20.0,10.24,2.56,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Merseyside,332814.304,415818.048
SHOTWICK,33/11,OPTICAL FIBRES T1 / SHOTWICK T1 / WALBRO T1,DEESIDE PK GRID GT1 / SIXTH AVE GRID GT1,20.0,12.54,3.13,7.22,0.9,RED,RED,Green,Red,Red,Red,Amber,Amber,Wirral,331398.273,371694.865
REFORM STREET,33/11,REFORM ST T1,COLWYN BAY GT1 / COLWYN BAY GT2 / DOLGARROG GT2,7.5,4.65,1.16,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,North Wales,278192.0321,382277.6017
ROSSETT,33/11,ROSSETT T1,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,7.5,3.21,0.8,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,336710.026,356913.715
RUABON,33/11,RUABON T1,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,10.0,6.68,1.67,10.74,0.4,RED,RED,Red,Red,Green,Red,Green,Amber,Dee Valley & Mid Wales,329112.408,343787.603
STAPELEY,33/11,STAPELEY T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,7.5,4.94,1.24,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Mid Cheshire,367531.91,351150.646
UNITED PERIPHERALS,33/11,TACO PLASTICS T1 / TACO PLASTICS T2 / UNITED PERIPHERALS T1,HARTFORD GT1 / LOSTOCK GT2 / WINSFORD GT1 / WINSFORD GT2,20.0,10.87,2.72,0.35,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Mid Cheshire,366660.352,367425.22
WELSHPOOL,33/11,WELSHPOOL T1,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,7.5,3.9,0.98,0.0,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,Dee Valley & Mid Wales,324108.8765,306776.5683
WEM EAST,33/11,WEM EAST T1,OSWESTRY GT5 / WHITCHURCH GT1,7.5,2.88,0.72,0.0,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,Dee Valley & Mid Wales,352367.445,329541.952
WHEELOCK,33/11,WHEELOCK T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,7.5,4.97,1.24,0.0,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,Mid Cheshire,375477.91,359678.024
ABERSOCH,33/11,ABERSOCH T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,4.0,2.82,0.71,0.0,0.0,RED,RED,Red,Amber,Red,Red,Green,Amber,North Wales,230001.385,327909.636
AINSDALE,33/6.6,AINSDALE T1 / PINFOLD LA T1,FORMBY GT2B / SOUTHPORT GT1 / SOUTHPORT GT2,9.1,6.31,1.58,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Merseyside,331583.848,412324.841
OLD ROAN,33/11,AINTREE LOCAL T1 / OLD ROAN T1 / WANGO LA T1,AINTREE GT2 / FAZAKERLEY GT1 / GILLMOSS GT2,20.0,11.67,2.92,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Merseyside,337076.725,399172.795
YEWTREE ROAD,33/11,ALLERTON T1 / ECP WEST-BANKS RD T1 / GARSTON T1 / WEAVER IND EST T1 / YEW TREE RD T1,GARSTON GT2 / SPEKE GT3 / WAVERTREE GT1A,37.5,14.24,3.56,0.11,0.0,AMBER,RED,Green,Amber,Amber,Green,Red,Amber,Merseyside,340614.176,387022.72
DELTA METALS,33/6.6,ALMATEX T1 / ST HELENS WWTW T1 / WATERY LA T2 / ex DELTA METALS T1,BOLD G4B / RAVENHEAD G1A2 / ST HELENS GT2A,18.2,9.47,2.37,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Merseyside,353303.936,395668.064
GREAT BOUGHTON,33/11,ASSOCIATED LEAD T1 / GREAT BOUGHTON T1 / PIPERS ASH T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,20.0,12.26,3.06,0.05,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Wirral,343161.792,366203.2
MACKAMAX,33/11,ASTMOOR IND EST T1 / MACKAMAX T1 / MERSEY RD T1 / PICOW FARM RD T1,DUTTON GT2 / MOORE GT1 / PERCIVAL LA GT1,30.0,11.08,2.77,7.74,0.0,RED,RED,Green,Red,Red,Red,Red,Amber,Wirral,353998.016,383518.304
ATHOL STREET,33/6.3,ATHOL ST T1 / CHISENHALE ST T1 / SANDHILLS LA T1,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,17.4,7.69,1.92,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,334437.776,392406.948
BALA,33/11,BALA T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,7.5,3.41,0.85,0.9,0.0,RED,AMBER,Red,Amber,Green,Green,Green,Amber,Dee Valley & Mid Wales,293429.356,337043.871
BARBAULD STREET,33/11,BARBAULD ST T1 / HORROCKS LA T1 / WARRINGTON CENTRAL T1,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,20.0,8.64,2.16,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Mid Cheshire,360656.313,387877.392
GAYTON,33/11,BARNSTON T1 / GAYTON T1 / IRBY T1 / THINGWALL T1,HESWALL GT1 / HOYLAKE GT2 / PRENTON GRID GT3,30.0,17.49,4.37,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,327876.1037,381254.7495
BERSHAM COLLIERY,33/11,BERSHAM COLLIERY T1,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,4.0,3.78,0.95,2.2,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,331358.38,348033.761
REGENT ROAD,33/6.3,BIBBYS T1 / INLAND REVENUE OFFICES T1 / REGENT RD T1,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,17.5,11.64,2.91,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,333807.552,393662.272
WHISTON,33/11,BICC HUYTON QUARRY T1 / TARBOCK T1 / WHISTON T1,GATEACRE GT1 / HUYTON GT1 / KIRKBY GT3 / PRESCOT GT1A,20.0,8.12,2.03,1.24,0.0,RED,RED,Green,Red,Red,Amber,Amber,Amber,Merseyside,346769.968,390803.437
BLACON,33/11,BLACON T1 / COCOA BARRY T1 / CRANE BANK T1 / KNUTSFORD WAY T1 / TOWER WHARF T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,37.5,20.85,5.21,0.0,0.88,RED,RED,Amber,Red,Red,Green,Red,Amber,Wirral,337900.608,368580.736
WATERLOO,33/11,BLUNDELLSANDS (NORTH) T1 / BLUNDELLSANDS (SOUTH) T1 / CROSBY T1 / KERSHAW AVE T1 / WATERLOO T2,AINTREE GT1 / FORMBY GT2A / LITHERLAND GT1B,37.5,21.08,5.27,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,331854.688,398145.856
GREEK STREET,33/11,BOLTON ST T1 / GREEK ST T1 / HPO COPPERAS HILL T1 / OLDHAM PLACE T1,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,20.0,14.89,3.72,0.0,0.0,AMBER,RED,Green,Amber,Amber,Green,Red,Amber,Merseyside,335411.52,390587.208
GREENALL WHITLEY,33/11,BRITISH ALUMINIUM LATCHFORD T1 / GREENHALL WHITLEY T1 / LATCHFORD T1 / LATCHFORD T2 / THAMES BOARD MILL T1,SANKEY BRIDGES GT3 / WARRINGTON GT5,30.0,17.8,4.45,0.2,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Mid Cheshire,361245.792,386779.744
MANNINGS LANE,33/11,BROOK LA T1 / MANNINGS LA T1 / NEWTOWN CHESTER T1 / UPTON HEATH T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,30.0,17.51,4.38,2.0,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Wirral,342396.192,368121.184
BUILDWAS ROAD,33/11,BUILDWAS RD T1 / MORGAN REFRACTORIES T1 / NESTON MAIN T1,HESWALL GT1 / HOYLAKE GT2 / PRENTON GRID GT3,20.0,8.65,2.16,1.53,0.0,RED,RED,Green,Red,Red,Amber,Amber,Amber,Wirral,329392.72,378674.585
NESTON MAIN,33/11,BUILDWAS RD T1 / MORGAN REFRACTORIES T1 / NESTON MAIN T1,HESWALL GT1 / HOYLAKE GT2 / PRENTON GRID GT3,20.0,8.65,2.16,1.53,0.0,RED,RED,Green,Red,Red,Amber,Amber,Amber,Wirral,329760.672,377253.248
BURLINGTON AVENUE,33/11,BURLINGTON AVE T1 / FRESHFIELD T1 / MARSH BROWS T1 / SOUTHPORT RD T1,AINTREE GT1 / FORMBY GT2A / LITHERLAND GT1B,28.0,14.7,3.67,1.8,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,330736.352,407134.336
VAN LEER NO 1,33/6.6,BURMAH OIL T1 / CABOT CARBON T1 / VAN LEER NO 1 T1,ELLESMERE PORT GT2 / INCE LOCAL GT1 / INCE LOCAL GT2,6.4,4.54,1.13,0.22,0.0,RED,RED,Amber,Red,Amber,Red,Red,Amber,Wirral,341137.87,376636.567
TULIP,33/11,BXL BROMBOROUGH T1 / TULIP T1,BROMBOROUGH GT3 / ROCK FERRY GT2,10.0,6.61,1.65,0.0,0.91,RED,RED,Green,Red,Red,Red,Green,Amber,Wirral,336009.472,382549.856
OLDHAM PLACE,33/11,CABLE ST T1 / GRADWELL ST T2 / OLDHAM PLACE T2,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,20.0,14.03,3.51,1.0,0.0,AMBER,RED,Green,Amber,Red,Amber,Amber,Amber,Merseyside,335306.352,390044.932
CADBURYS - KRONOSPAN,33/11,CADBURYS KRONOSPAN T1 / CADBURYS KRONOSPAN T2,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,10.0,6.22,1.55,0.0,0.0,RED,AMBER,Red,Red,Amber,Amber,Green,Amber,Dee Valley & Mid Wales,328396.6263,338227.6321
CALDY,33/11,CALDY T1 / HOYLAKE T1 / MEOLS T1 / WEST KIRBY SOUTH T1,HESWALL GT1 / HOYLAKE GT2 / PRENTON GRID GT3,30.0,15.04,3.76,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,322683.776,385184.8
WEST KIRBY SOUTH,33/11,CALDY T1 / HOYLAKE T1 / MEOLS T1 / WEST KIRBY SOUTH T1,HESWALL GT1 / HOYLAKE GT2 / PRENTON GRID GT3,30.0,15.04,3.76,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,321794.704,386056.484
CHALON WAY,33/6.6,CARLTON ST T1 / CARLTON ST T2 / CHALON WAY T2,RAVENHEAD G1A1 / ST HELENS GT2B / WINDLE GT1,18.2,9.8,2.45,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Merseyside,351415.744,395151.328
CARMEL,33/11,CARMEL T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,4.0,2.89,0.72,1.1,0.0,RED,AMBER,Red,Amber,Amber,Amber,Green,Amber,North Wales,249399.7469,355528.9324
NORTHWICH TOWN,33/11,CASTLE BEESTON ST T1 / HARTFORD T2 / LEICESTER ST T1 / NORTHWICH TOWN T1 / WINNINGTON T1,HARTFORD GT1 / LOSTOCK GT2 / WINSFORD GT1 / WINSFORD GT2,37.5,20.13,5.03,0.02,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Mid Cheshire,365943.648,374075.552
UNILEVER DUNKIRK,33/11,CHESTER GATES T1 / UNILEVER DUNKIRK T1,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,10.0,5.66,1.42,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Green,Amber,Wirral,338118.3258,372459.1882
RHOSNESNI,33/11,CHESTER ST (WREXHAM) T1 / EAGLES MEADOW T1 / RHOSNESNI T1 / WHITEGATE T1,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,30.0,13.51,3.38,0.0,0.0,RED,RED,Red,Red,Amber,Green,Red,Amber,Dee Valley & Mid Wales,334735.648,351676.064
LISTER DRIVE 6kV T1,33/6.3,CLUBMOOR T2 / LISTER DV A T1 / SUBURBAN RD T2,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,17.5,10.76,2.69,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,338156.0,391821.0
CONNAHS QUAY,33/11,CONNAHS QUAY LOCAL T1 / CONNAHS QUAY LOCAL T2 / HAWARDEN T1 / KING GEORGE ST T1,CASTLE CEMENT GT1 / HAWARDEN GT1 / SALTNEY GT1 / SALTNEY G2B,30.0,16.67,4.17,1.63,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Dee Valley & Mid Wales,329035.072,368884.192
CORWEN,33/11,CORWEN T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,7.5,3.87,0.97,1.76,0.0,RED,AMBER,Red,Amber,Green,Green,Green,Amber,Dee Valley & Mid Wales,306240.063,343414.475
DOLGARROG,33/11,DOLGARROG T1 / DOLGARROG T2,COLWYN BAY GT1 / COLWYN BAY GT2 / DOLGARROG GT2,7.5,4.36,1.09,2.77,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,North Wales,277037.13,367662.774
EGERTON,33/11,EGERTON T1 / ROCK FERRY T1 / SHELL TRANMERE T1,PRENTON GRID GT1 / ROCK FERRY GT1,20.0,14.11,3.53,0.13,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Wirral,332123.456,386377.44
EXPRESS FOODS,33/11,EXPRESS FOODS T1,OSWESTRY GT5 / WHITCHURCH GT1,7.5,1.09,0.27,1.9,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,Dee Valley & Mid Wales,338996.952,322384.96
PRENTON LOCAL,33/11,FORD T1 / OXTON T1 / PRENTON LOCAL T1 / SINGLETON AVE T2,PRENTON GRID GT1 / ROCK FERRY GT1,30.0,17.62,4.4,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,329088.928,386440.544
STOCKTON HEATH,33/11,GIGG LA THELWALL T1 / HILLCLIFFE T1 / STOCKTON HEATH T1 / STRETTON IND EST T1,SANKEY BRIDGES GT3 / WARRINGTON GT5,30.0,19.34,4.84,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Mid Cheshire,361379.488,386134.304
